"placename","othername","designator","location","remarks","infosource"
"Abbott Iron Co","   -","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Abrams Mtn.","   -","Mountain","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Antioch Baptist Church","   -","Church","Shenandoah County, north of Brocks Gap","Baptist","HRHS Churches Database 2013"
"Armentrout Family Cemetery","   -","Cemetery","Penn Laird area, Rockingham County, Virginia. From Harrisonburg take Route 33 East towards Penn Laird. Turn right on to Route 655 (Lawyers Road). Go 4/10 mile and turn right on to Route 1801 (Donnagail Drive). Cemetery is located in the backyard behi","   -","HRHS Cemeteries Database 2013"
"Athens Cemetery (*)","   -","Cemetery","Northeast of Harrisonburg, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 11 North and turn right onto Route 721 (Fellowship Road). Route 721 intersects Route 717 (Indian Trail Road) and turn left. Continue on Route 717 and go p","* Negro","HRHS Cemeteries Database 2013"
"Austin Mountain","   -","Mountain","Elevation 2658' on Blue Ridge about 4 mi E of Grottoes","Bgn 1933","HRHS Archives # 86 Whitmer"
"B.S.","   -","Other","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Back Road","Old Back Road","Road","   -","Named 'old Back Road' on VA DoH 1939-32","HRHS Archives # 86 Whitmer"
"Baltimore House","   -","Hotel","About 2.9 mi S of Lairds Knob in Rockingham Springs Resort","   -","HRHS Archives # 86 Whitmer"
"Beaver Creek Brethren Church Cemetery","   -","Cemetery","Northeast of Spring Creek area, Rockingham County, Virginia.  From Harrisonburg, Virginia, take Route 42 South (John Wayland Hwy) to Dayton.  Go right on Route 257 (Ottobine Road), then go 4.0 miles and turn left onto Road 752 (Silver Creek Road).  (","   -","HRHS Cemeteries Database 2013"
"Beaver Creek Church","Beaver Creek Dunkard Church","Church","On SR 752. About 2 mi SE of Ottobine","Named 'Beaver Creek Dunkard Church' on Lake G, p.10, Show G, p.6, Pit G","HRHS Archives # 86 Whitmer"
"Beery & Brown","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"Bennett Run School","   -","School","SR 824 about 1.6 mi N of Criders.","   -","HRHS Archives # 86 Whitmer"
"Berlin Mill","   -","Mill","Bridgewater","   -","HRHS Mill Books"
"Bethlehem Christian Church","(See also: Bethlehem United Church of Christ)","Church","Tenth Legion","Christian","HRHS Churches Database 2013"
"Black Lick Run","   -","Stream","Rises about 6.3 mi NW of Singers Glen, near 38 36 57N, 78 59 50W, flows ESE about 1.5 mi into Slate Lick Branch near 38 36 39N, 78 58 24W, about 5.2 mi NW of Singers Glen","   -","HRHS Archives # 86 Whitmer"
"Blose Family Cemetery","   -","Cemetery","Verbena, near Elkton, Rockingham County, Virginia.  About one mile due east of the tiny village of Verbena, along Naked Creek, at the junction of Road 609 (Naked Creek Road) and 603 (Blose Road), located on the farm of Reece Dean (dec'd March 2002).","   -","HRHS Cemeteries Database 2013"
"Blosser Family Cemetery","   -","Cemetery","Dayton, Rockingham County, Virginia.  From Harrisonburg take Route 42 South (John Wayland Highway) and travel approx. 2 miles.  On the right side of the road you will see a sign 'Sunny Slope' which is on the Charles Wampler property.  Turn into his d","   -","HRHS Cemeteries Database 2013"
"Blue Ridge","Blue Ridge Mountains, Blue Ridge Mountain","Mountain","SE border of Rok Runs along crest of Blue Ridge","Named 'Blue Ridge Mountains' on DoHT 1977,75-69,39, Lake G,p.7,38-39. Named 'Blue Ridge Mountain' on VA DoH 1967-41, 36-32","HRHS Archives # 86 Whitmer"
"Bonnie Brook","Bonnie Run","Stream","Rises about 3.4 mi S of Lairds Knob, near 38 24 00N, 78 43 55W, flows SE about 3.7 mi into North Fork Shenandoah River near 38 22 18N, 78 40 43W, about 3 mi E of McGaheysville.","Named 'Bonnie Run' on Pit G","HRHS Archives # 86 Whitmer"
"Boones Run","   -","Stream","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Bradburn Mills","Hinton Roller Mills","Mill","Hinton","   -","HRHS Mill Books"
"Bridgewater Methodist Episcopal Church","(See also, Bridgewater Methodist Church and Bridgewater United Methodist Church)","Church","Bridgewater. Intersection of N. Main St. and Green St. SW corner","Methodist Episcopal","HRHS Churches Database 2013"
"Bridle Path (over Little No.Mtn)","   -","Road","A trail extending Generally NW-SE over Little North Mountain. Probably begins on SR 612 near 38 37 03N, 78 55 15W, passes over Little North Mountain near 38 36 34N, 78 54 04W, and ends as part of SR 776 at its northern intersection with SR 613 near 3","   -","HRHS Archives # 86 Whitmer"
"Briery Branch Church of the Brethren","   -","Church","Briery Branch. Intersection of Briery Branch Rd and David Cupp Rd.","Church of the Brethren","HRHS Churches Database 2013"
"Broadway Baptist Church","   -","Church","Broadway, Mason St. and Church St.","Baptist","HRHS Churches Database 2013"
"Broadway Methodist Church","(See also, Broadway First United Methodist Church)","Church","Broadway","Methodist Episcopal, South","HRHS Churches Database 2013"
"Broadway Mills","   -","Business","   -","Named 'Broadway Milling Company' on Show G, p.18","HRHS Archives # 86 Whitmer"
"Broadway School","   -","School","In Timberville","No doubt an error.","HRHS Archives # 86 Whitmer"
"Broadway United Brethren Church","(See also, Sunset Drive United Methodist Church)","Church","Broadway - on Central Street.","United Brethren","HRHS Churches Database 2013"
"Combs-Ritchie Cemetery","   -","Cemetery","Bergton Area, Rockingham County, Virginia. Cemetery is located on top of the Shenandoah Mountain up Overly Hollow Road (Route 823) at Bergton, Virginia, and in the site of the cabin of Lester and Diann Mook.","   -","HRHS Cemeteries Database 2013"
"Concrete","   -","Community","On Norfolk & Western Railway line. About 2.5 mi S of McGaheysville.","   -","HRHS Archives # 86 Whitmer"
"Cooks Creek","Coons Creek","Stream","Rises about 1.3 mi E of Mt. Clinton, near 38 29 17N, 78 56 16W, flows S about 14.5 mi into North River near 38 20 44N, 78 56 20W, about .8 mi S of Mt. Crawford.","Named 'Coon Creek' on Mt. Crawford map. Portion from its source to confluence with Blacks Run Named 'North Fork of Cooks Creek'","HRHS Archives # 86 Whitmer"
"Duck Run","Mill Creek","Stream","Rises about 1.9 mi SE of Massantetta Springs, near 38 22 36N, 78 48 54W. Flows S about 3.2 mi into Mill Creek near 38 20 13N, 78 48 26W, about 2.4 mi SE of Cross Keys.","   -","HRHS Archives # 86 Whitmer"
"Dunkard Church","   -","Church","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Dunkard Church","   -","Church","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013"
"Lynwood P O","   -","Post Office","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"M. C. Showalter Co.","   -","Mill","Broadway","   -","HRHS Mill Books"
"M.E.C.","   -","Church","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 10","1885 Lakes Atlas Revised 2013"
"Mabel Memorial Church","   -","Church","On SR 710. About 1.9 mi SSE of the courthouse in Harrisonburg.","   -","HRHS Archives # 86 Whitmer"
"Mabel Memorial Presbyterian Chapel","   -","Church","Harrisonburg, Reservoir Street.","Presbyterian","HRHS Churches Database 2013"
"Madison College","James Madison University, see remarks","College","   -","1908 State Normal and Industrial School for Women, 1914 State Normal School for Women at Harrisonburg, 1924 State Teachers College at Harrisonburg, 1938 Madison College.","Other Sources"
"Myers Family Cemetery","   -","Cemetery","Broadway, Rockingham County, Virginia. From downtown Harrisonburg take Route 42 North.  Go 7.6 miles and turn left onto Williamsburg Road (Road 782).  Go 1.2 miles and cemetery is off to the right.","   -","HRHS Cemeteries Database 2013"
"N. Fork Creek","   -","Stream","Dayton","P. 22","1885 Lakes Atlas Revised 2013"
"Naked Creek","   -","Stream","Beings at confluence of West Branch and East Branch of Naked Creek in Page County at Jollett, near 38 27 49N, 78 31 31W, flows W about 7 mi into South Fork Shenandoah River near 38 27 55N, 78 37 21W, about 2.9 mi NW of Fox Mountain","   -","HRHS Archives # 86 Whitmer"
"Narrow Back Mtn","   -","Mountain","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Nicewarner & Roed.","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"Rockytop","   -","Mountain","Elevation 2856'. On Blue Ridge about 3.8 mi S of Rocky Bar.","Benchmark elevation of 2856' is on unnamed peak north of labled 'Rockytop'. This feature is probably mislabeled.","HRHS Archives # 86 Whitmer"
"R?ders Lutheran Church","(See also, Raders Lutheran Church)","Church","Timberville. West of town.","Lutheran / German Reformed","HRHS Churches Database 2013"
"RR B&O Val. Br.","   -","Railroad","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"Brown Mountain","   -","Mountain","Elevation about 2540'. On Blue Ridge about 1.6 mi NE of Rocky Top.","BGN 1933","HRHS Archives # 86 Whitmer"
"New Hope Church","Mount Pleasant","Church","On SR 720. About 2 mi NW of Keezletown","Named 'Mount Pleasant Church' on Pit G","HRHS Archives # 86 Whitmer"
"New Penn Laird Milling Company","   -","Mill","Penn Laird","   -","HRHS Mill Books"
"East Side Addition","   -","Community","A subdivision in Broadway. Between Lee St. on N, Broadway Ave on S, & to E & W Atlantic Ave","   -","HRHS Archives # 86 Whitmer"
"Eastern Mennonite College","Eastern Nennonite School","College","   -","   -","HRHS Archives # 86 Whitmer"
"Eastern Mennonite School","Eastern Mennonite College","College","   -","   -","HRHS Archives # 86 Whitmer"
"Eaton Hollow","   -","Valley","Runs NNE & opens onto Hawksbill Creek. Bounded by Bush Mountain on E. About 1.3 mi Long. Ceneter near 38 20 25N, 78 36 15W. About 3.3 mi SW of Swift Run Gap.","Drained by Cold Comfort Creek","HRHS Archives # 86 Whitmer"
"Edom Methodist Episcopal Church","Refer to Edom Union Church","Church","Edom","Methodist Episcopal, South","HRHS Churches Database 2013"
"Linville Mill","   -","Mill","A water powered mill on Linville Creek, probably about 1 mi NW of Linville.","Show G., p.14 says 'Site of Linville Mill'","HRHS Archives # 86 Whitmer"
"Pleasant Hill School Number 15","Pleasant Hill School","School","   -","   -","HRHS Archives # 86 Whitmer"
"Pleasant Valley School","   -","School","At Pleasant Valley Community.","   -","HRHS Archives # 86 Whitmer"
"Timberville","   -","Town","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Timberville Dunkard Church","(See also, Timberville Church of the Brethren)","Church","Timberville.","Dunkard","HRHS Churches Database 2013"
"Belmont Hall","   -","Structure","On Smith?s Creek, ten miles north of Harrisonburg, on east side of Route 11, about a mile from highway.","Page 108.","WPA Book - 1937"
"Breastworks ? Cannon Pits","   -","Structure","Browns Gap, near Grottoes.","Page 89.","WPA Book - 1937"
"Craney Island","   -","Structure","Sixteen miles northeast of Harrisonburg, on east side of Route 11, about a mile distant from highway.","Page 138.","WPA Book - 1937"
"Dinkle (Bill) Home","   -","Structure","Bridgewater, east end (or bend) in Bank Street.","Page 150.","WPA Book - 1937"
"Brush Brethren Church Cemetery","   -","Cemetery","Singers Glen, Rockingham County, Virginia.  From Harrisonburg Court Square, take Route 42 north.  Go 5.6 miles and turn left onto Route 721 (Green Hill Road).  Go 3.1 miles and Route 721 intersects with Route 752 (Mt. Zion Road).  Take Route 752 and","   -","HRHS Cemeteries Database 2013"
"Bryan","C.J.L. & Co.","Business","Dayton","P. 22","1885 Lakes Atlas Revised 2013"
"Byrd Orchard Road","   -","Road","A road extending generally S-N. Begins at intersection of SR 614 and 881, about 1.9 mi NNW of Timberville, ends probably at Moores Store in Shenandoah County. Is now present day SR 614. Extends about 2.9 mi in Rockingham County.","   -","HRHS Archives # 86 Whitmer"
"Cabinet Shop","   -","Business","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Camp Massanetta","   -","Camp","About .3 mi W of Massanetta Springs.","   -","HRHS Archives # 86 Whitmer"
"Camp Rader Run","   -","Stream","Begins at confluence of North Fork Camp Rader run and South Fork Camp Rader Run, about 1.7 mi ENE of Cow Knob, near 38 41 58N, 79 03 42W, flows E about 1.3 mi into German River near 38 42 00N, 79 02 23W, about 2.9 mi ENE of Cow Knob.","Shows on 7.5' map, but North Fork Camp Rader Run as Camp Rader Run. South Fork unnamed","HRHS Archives # 86 Whitmer"
"Caplinger School","School Number 32","School","On SR 826. About .2 mi SE of Criders.","Named 'School Number 32' on Lake G map","HRHS Archives # 86 Whitmer"
"Capon Run School","   -","School","On SR 259 about 1.5 mi ENE of Bergton.","   -","HRHS Archives # 86 Whitmer"
"Cedar Grove School","   -","School","On SR 761. About 3.2 mi S of Singers Glen.","   -","HRHS Archives # 86 Whitmer"
"Cedar Grove United Brethren Church","(See also, Cedar Grove United Methodist Church)","Church","Harrisonburg, Smithland Road","United Brethren","HRHS Churches Database 2013"
"Cedar Run Church","   -","Church","On SR 786. About 2.2 mi WSW of Broadway.","   -","HRHS Archives # 86 Whitmer"
"Central District","Central Magisterial District","Area","Central Magisterial District is the South-central one in Rockingham County. Includes Mt. Clinton, Hinton, Keezletown, Massanetta Springs and Penn Laird.","Named 'Central Magisterial District' on Lake G map","HRHS Archives # 86 Whitmer"
"Chesapeake Wester Railway","   -","Railroad","These maps show this line running from Elkton through McGaheysville, Keezletown, Harrisonburg, Bridgewater & continuing into Augusta Co., through Mossy Creek & Mt. Solon. Possibly ends just beyond Mt. Solon. Connects with Souther & Baltimore and Ohio","   -","HRHS Archives # 86 Whitmer"
"Church","Luth.","Church","West Plains","P. 27","1885 Lakes Atlas Revised 2013"
"Church","M E","Church","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Church","Mt Sinai UB","Church","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Click & Miller","   -","Business","Dayton","P. 22","1885 Lakes Atlas Revised 2013"
"CMD School","   -","School","West Central","P. 15","1885 Lakes Atlas Revised 2013"
"Fair View Church","Fairview Church","Church","   -","   -","HRHS Archives # 86 Whitmer"
"Feed Stone Mtn","   -","Mountain","West Central","P. 14","1885 Lakes Atlas Revised 2013"
"Fellowship / Sellers Methodist Church","(See also, Fellowship Methodist Church)","Church","Melrose, east of.","Methodist Episcopal","HRHS Churches Database 2013"
"Huffman - Flick Cemetery","   -","Cemetery","Linville area, Rockingham County, Virginia.  From downtown Harrisonburg, take Route 11 north and turn left onto Route 765 (Gravels Road).  Cemetery is located on north side of Route 765 approximately one fourth mile east of Bethel Church of the Breth","   -","HRHS Cemeteries Database 2013"
"Mauzy P.O.","   -","Post Office","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"May Cemetery (1)","   -","Cemetery","Criders  Area, Rockingham County, Virginia. Located on the farm of the George May I, and on Mays Creek Lane at Bergton, Virginia.","   -","HRHS Cemeteries Database 2013"
"Mayland","Mayland Post Office","Community","At intersection of SR 259 and 619. About 2.3 mi SE of Broadway.","   -","HRHS Archives # 86 Whitmer"
"Ritchie Family Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. Located at Dwight Hoover's place, formerly Orie Hoover's.    From route 259, turn left at Fulks Run Grocery onto Route 612.  After about 2 miles, turn right onto route 817 toward Mountain Grove Church of the Br","   -","HRHS Cemeteries Database 2013"
"Slate Lick Run Cemeteries","   -","Cemetery","Rockingham County, Virginia. Cemetery is located west of Routes 612 and 817 in the George Washington National Forest. West of the Carr place now Joseph Funk place.","   -","HRHS Cemeteries Database 2013"
"Smith Cemetery","   -","Cemetery","Bennetts Run, Bergton Area, Rockingham County, Virginia. Located in the field behind the present Bennetts Run School house.","   -","HRHS Cemeteries Database 2013"
"Cooper Sch","   -","School","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Cooper Sh.","   -","School","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Cooper Shop","   -","Business","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Cootes Store P.O.","   -","Post Office","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Cootes Store Post Office","   -","Post Office","   -","Named 'Cootes Store' on 7.5' map","HRHS Archives # 86 Whitmer"
"Cow Knob","   -","Mountain","Elevation 4036'. About 9.3 mi WNW of Fulks Run","   -","HRHS Archives # 86 Whitmer"
"Cowans Depot","Daphna","Community","   -","Named 'Daphna' on 7.5' map.","HRHS Archives # 86 Whitmer"
"Cowan's P.O.","   -","Post Office","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Crab Run","   -","Stream","Rises in Hardy Co. W.Va. About 5.1 mi NNE of Bergton, near 38 50 24N, 78 54 54W, flows SSW about 6.8 mi into North Fork Shenandoah River near 38 46 03N, 78 56 27W at Bergton.","   -","HRHS Archives # 86 Whitmer"
"Criders Post Office","Criders","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"Crist","   -","Community","At eastern intersection of SR 619 & 799. About 3.7 mi WSW of New Market on in Shenandoah County.","   -","HRHS Archives # 86 Whitmer"
"Cross Keys P.O.","   -","Post Office","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Cross Mountain Run","   -","Stream","Rise about 5.5 mi NNW of Singers Glen, near 38 37 27N, 78 57 44W, flows S about 1.5 mi into Slate Lick Branch near 38 36 21N, 78 57 26W, about 4.4 mi NNW of Singers Glen.","   -","HRHS Archives # 86 Whitmer"
"Cub Run","   -","Stream","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Cub Run Road","   -","Road","A road on Massanutten Mountain, extending SW-NE about 11.4 mi through Runkles Gap & in part along Cub Run. Midpoint near 38 30 04N, 78 40 00W, about 5.8 mi SE of Tenth Legion.","Cub Run Road is SR 636 in Rockingham Co. How far does Cub Run Road extend in Page Co.? Does it extend beyond the Natl. Forest Boundry?","HRHS Archives # 86 Whitmer"
"Dayton Dunkard Brethren Church","Refer to: Lone Pine Dunkard Church","Church","Dayton. Ottobine Rd.","Dunkard","HRHS Churches Database 2013"
"Dayton Presbyterian Church","Refer to: Salem Presbyterian Church","Church","Dayton, Va. High Street near north end.","Presbyterian","HRHS Churches Database 2013"
"Deihl","   -","Community","A subdivision in Bridgewater. On N+S sides of Broad Street between Liberfty St. on W and Wyant St. on","   -","HRHS Archives # 86 Whitmer"
"Distillery (Fruit)","   -","Business","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Dollys Knob","   -","Mountain","Elevation 1559'. About 2 mi WSW of Huckleberry Mtn","   -","HRHS Archives # 86 Whitmer"
"Dovesville","Bergton","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Dovesville Post Office","Bergton","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"Driver Family Cemetery","   -","Cemetery","Singers Glen area, Rockingham County, Virginia. From downtown Harrisonburg, Virginia, take Route 42 to Route 763 (Mt. Clinton Pike, Singers Glen Road). Go several miles to Route 777 (Peter Driver Lane) and turn left. Go 2/10 mile and cemetery is on t","   -","HRHS Cemeteries Database 2013"
"Dry River","   -","River","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 10","1885 Lakes Atlas Revised 2013"
