"placename","othername","designator","location","remarks","infosource"
"Peaked Mountain (Lower Church)","Refer to: St. Peters Lutheran (Old) (See also, St. Peters Lutheran, Naked Creek Lutheran)","Church","Elkton, north of.","Lutheran / German Reformed","HRHS Churches Database 2013"
"Peaked Mountain Presbyterian Church","(See also, Massanutten Presbyterian Church & Union Church (at Cross Keys))","Church","Cross Keys. Half mile east. (No longer exists)","Presbyterian","HRHS Churches Database 2013"
"Peoples Baptist Church","   -","Church","Harrisonburg, Main Street south.","Baptist","HRHS Churches Database 2013"
"Phillips Hill","   -","Hill","Elevation about 1460'. About 3.3 mi S of 10th Legion","   -","HRHS Archives # 86 Whitmer"
"Pond","   -","Lake","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Port Republic Academy","   -","School","At SR 605 in Port Republic","   -","HRHS Archives # 86 Whitmer"
"Port Republic Methodist Church","   -","Church","Port Republic","Methodist Episcopal","HRHS Churches Database 2013"
"Port Republic Methodist Church (Colored)","   -","Church","Port Republic","Methodist","HRHS Churches Database 2013"
"Port Republic Methodist Church Abandoned Cemetery","   -","Cemetery","Port Republic, Rockingham County, Virginia.  In Harrisonburg, from the corner of Main Street (Route 11) and Port Republic Road (Route 659), travel east 11.1 miles on Port Republic Road.  Cemetery is located on River Road on the west bank of the South","   -","HRHS Cemeteries Database 2013"
"Powell Gap Raod","   -","Road","A road which extended generally NNW-SSE up Eaton Hollow. Began at intersection of SR 627 and 628 at Beldor and ended in Rockingham Co. at Powell Gap. Is now apparently an unimproved raod and jeep trail. Extended about 2.3 mi in Rockingham Co.","Show G, p.23 named Powells Gap Road","HRHS Archives # 86 Whitmer"
"R R. Shen. Val","   -","Railroad","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Raders Lutheran Church Cemetery","   -","Cemetery","Broadway area, Rockingham County, Virginia. West of Timberville, Rockingham County, Virginia.  From downtown Harrisonburg, take Route 42 North.  In Broadway, Route 42 turns right and then left.  (Names for Route 42 are Harpine Highway, E. Lee St., Ti","   -","HRHS Cemeteries Database 2013"
"Rawley Sprgs. PO.","   -","Post Office","West Central","P. 14","1885 Lakes Atlas Revised 2013"
"Rawley Springs","   -","Community","On SR 847. About 11 mi WNW of Harrisonburg.","   -","HRHS Archives # 86 Whitmer"
"Rawley Springs","   -","Community","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Ritchie School","   -","School","Near intersection of SR 631 and 818. About 4.6 mi W of Fulks Run.","   -","HRHS Archives # 86 Whitmer"
"River Bank Mill","   -","Mill","McGaheysville","   -","HRHS Mill Books"
"Rock Run Mtn.","   -","Mountain","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Rocky Mountain Run","   -","Stream","Rises about 2.8 mi ENE of Rockytop, near 38 17 52N, 78 39 46W. Flows E about 2.3 mi into Big Run near 38 17 15N, 78 41 50W, about .9 mi E of Rockytop","   -","HRHS Archives # 86 Whitmer"
"RR Valley BR B&O","   -","Railroad","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Runyon Creek","Runion Creek, Runions Creek, Runyans","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Saint Michael Church","Saint Michaels Church","Church","Mt. Sid. A","   -","HRHS Archives # 86 Whitmer"
"Sandy Bottom Overlook","   -","Road","On Skyline Drive about 1.8 mi SW of Swith Run Gap. Elevation 2705'.","   -","HRHS Archives # 86 Whitmer"
"School","Col.d","School","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"School","S.","School","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"School","Colored","School","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"School","No. 31","School","West Plains","P. 26","1885 Lakes Atlas Revised 2013"
"School","No. 38","School","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 10","1885 Lakes Atlas Revised 2013"
"School","No.6","School","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"School Number 1","Hall and School Number 1","School","   -","   -","HRHS Archives # 86 Whitmer"
"School Number 10","Wampler School Number 10","School","   -","   -","HRHS Archives # 86 Whitmer"
"School Number 12","   -","School","About 2.4 mi NNE of Timberville","   -","HRHS Archives # 86 Whitmer"
"School Number 16","   -","School","Near intersection of U.S. Rt.42 and T1421 in Broadway","   -","HRHS Archives # 86 Whitmer"
"School Number 2","Free Church and School Number 2, Union Chapel","School","   -","   -","HRHS Archives # 86 Whitmer"
"School Number 22","Old Virignia School","School","   -","   -","HRHS Archives # 86 Whitmer"
"School Number 23","Glass School Number 23","School","   -","   -","HRHS Archives # 86 Whitmer"
"School Number 32","Caplinger School","School","   -","   -","HRHS Archives # 86 Whitmer"
"Scotts Ford","   -","Stream","A ford across North River, about 2 mi West of Port Republic.","   -","HRHS Archives # 86 Whitmer"
"Second Mountain Trail","   -","Road","A trail in George Washington Natl Forest, extending SSW-NNE about 6 mi along Second Mountain. Midpoint near 38 32 17N, 79 01 08W. About 3 mi NE of Rawley Springs.","   -","HRHS Archives # 86 Whitmer"
"Shady Grove Cemetery","   -","Church","On SR 671. About 2.3 mi NW of Port Republic.","   -","HRHS Archives # 86 Whitmer"
"Shiloh Presbyterian Church","(See also, Turleytown Presbyterian Church.)","Church","Turleytown","Presbyterian","HRHS Churches Database 2013"
"Shoe Shop","   -","Business","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Shultz (Shoup) Cemetery","   -","Cemetery","Daphna, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 42 North (Harpine Hwy) to Route 809 (Zions Church Road) and turn right. Stay on Route 809 to Daphna Station. Cemetery on east side of railroad tracks north of Daphna Station","   -","HRHS Cemeteries Database 2013"
"Shunks & Price","   -","Business","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013"
"Shutters & Kiser","   -","Business","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 10","1885 Lakes Atlas Revised 2013"
"Silver Hill Caverns","Zirkle's Cave, Endless Caverns","Cave","Northern Rockingham Co.","   -","Other Sources"
"Simmons Gap","   -","Gap","An air gap in the Blue Ridge about 5.6 mi SW of Swift Run Gap. Elevation 2253'. A restricted national park road descends from Simmons Gap to Beldor.","   -","HRHS Archives # 86 Whitmer"
"Simmons Gap Road","   -","Road","A road extending generally NNE-SSW. Begins at intersection of U.S. Rt.33 & sr 628, at Swift Run community, ends in Rockingham Co. at intersection of Skyline Drive and unnamed national park service road, at Simmons Gap. Is now present day SR. 628 and","   -","HRHS Archives # 86 Whitmer"
"Singers Glen Baptist Church","Refer to: Glen Chapel","Church","Singers Glen","Baptist","HRHS Churches Database 2013"
"Singers Glen Cemetery","   -","Cemetery","Singers Glen, Rockingham County, Virginia. From downtown Harrisonburg, travel north 5.5 miles on Route 42.  There will be a sign on the right side of Route 42 pointing left to Singers Glen.  Turn left onto Route 721 (Green Hill Road) and go 3.7 miles","   -","HRHS Cemeteries Database 2013"
"Sipe's E. Dairy","   -","Business","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Snake Hollow Mountain","   -","Mountain","Elevation 2904'. Extends NNW-SSE about 1.5 mi. Center about 4.2 mi NE of Cow Knob. Summit near 38 43 23N, 79 01 30W.","   -","HRHS Archives # 86 Whitmer"
"Snyder?s ( Schneider?s) Church","   -","Church","McGaheysville, nearby.","Lutheran","HRHS Churches Database 2013"
"Spaders Ch. Cem.","   -","Cemetery","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Spears Family Cemetery","   -","Cemetery","North of Edom, Rockingham County, Virginia.  From corner of Route 33 West (W. Market Street) and Route 42 in Harrisonburg, take Route 42 North.  Go 7.3 miles then turn right on to property with house and barn.  Take road behind the barn, through gate","   -","HRHS Cemeteries Database 2013"
"Spring Creek","   -","Community","At intersection of SR 613, 752 and 748. About 2.1 mi S of Ottobine.","   -","HRHS Archives # 86 Whitmer"
"Spring Creek","   -","Stream","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Spring Reservoir(RS)","   -","Spring","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013"
"St. James United Methodist Church","Refer to: St. James United Brethren Church","Church","Pleasant Valley","United Methodist","HRHS Churches Database 2013"
"St. Stephen's United Church of Christ","Refer to: St. Stephen's Reformed Church.","Church","Harrisonburg. South Main St and Campbell Avenue.","United Church of Christ","HRHS Churches Database 2013"
"Bear Lithia Post Office","   -","Post Office","   -","National Archives microfilm 1126, roll 623 HRHS library notebook copies.","Other Sources"
"Cowans Depot Post Office","   -","Post Office","   -","National Archives microfilm 1126, roll 623 HRHS library notebook copies.","Other Sources"
"Hollar Post Office","   -","Post Office","   -","National Archives microfilm 1126, roll 623 HRHS library notebook copies.","Other Sources"
"Nina Post Office","   -","Post Office","   -","National Archives microfilm 1126, roll 623 HRHS library notebook copies.","Other Sources"
"Mt. Pleasant Post Office","Fulks Run","Post Office","   -","National Archives microfilm 1126, roll 623 HRHS library notebook copies.","Other Sources"
"Paradise Post Office","   -","Post Office","   -","National Archives microfilm 1126, roll 623 HRHS library notebook copies.","Other Sources"
"Shendun Post Office","   -","Post Office","   -","National Archives microfilm 1126, roll 623 HRHS library notebook copies.","Other Sources"
"Smith Creek","   -","Post Office","   -","National Archives microfilm 1126, roll 623 HRHS library notebook copies.","Other Sources"
"Herringford","   -","Structure","About five miles south of Harrisonburg, near Dayton","Page 194.","WPA Book - 1937"
"Hill Top","   -","Structure","Northeast section of Harrisonburg, on the south side of Washington Street.","Page 203.","WPA Book - 1937"
"Homeland","   -","Structure","Just within the corporate limits of Harrisonburg","Page 206.","WPA Book - 1937"
"Stock Pens","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"Store & P.O. (C.H.)","   -","Business","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Store & P.O. (P.R)","   -","Business","Port Republic","P. 22","1885 Lakes Atlas Revised 2013"
"Stoutamyer Family Cemetery #","   -","Cemetery","Bridgewater area, Rockingham County, Virginia.  In 1967 located on the Stoutamyer sisters home south of Bridgewater on Route 42."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Strayer & Liggett","   -","Business","Harrisonburg","P. 16","1885 Lakes Atlas Revised 2013"
"Strickler Family Cemetery","   -","Cemetery","Court Manor area, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 11 North (No. Valley Pike) to Route 796 (Moores Mill Road) and turn right. Cemetery is located on the east side of Smith's Creek.","   -","HRHS Cemeteries Database 2013"
"Sugar Run","Dry River, Little Bear Creek","Stream","Risesa bout 4.6 mi S of Cow Knob, near 38 37 32N, 79 04 40W, flows NE about 2.5 mi into Little Dry River near 38 38 48N, 79 03 08W, about 3.7 mi SSE of Cow Knob.","   -","HRHS Archives # 86 Whitmer"
"Suplinlick Mtn.","   -","Mountain","West Plains","P. 27","1885 Lakes Atlas Revised 2013"
"Swiftrun","Swift Run","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Swiftrun Gap","Swift Run Gap","Gap","   -","   -","HRHS Archives # 86 Whitmer"
"Tannery","Dinkel Bros","Business","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"Tannery","Swift Run","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Temperance Lodge","   -","Hotel","On SR 276. About .4 mi SW of Cross Keys.","   -","HRHS Archives # 86 Whitmer"
"Tenth Legion","   -","Community","At intersection of U.S. Rt.11 and SR 798. About 4.5 mi SE of Broadway","   -","HRHS Archives # 86 Whitmer"
"The Peak","Massanutten Peak","Mountain","   -","   -","HRHS Archives # 86 Whitmer"
"Third Point","   -","Mountain","Elevation 3071'. About 5 mi ENE of Cow Knob.","   -","HRHS Archives # 86 Whitmer"
"Thorny Branch","   -","Stream","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Tide Spring","   -","Spring","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Timber Ridge","   -","Hill","At the intersection of SR 276 and 668. About 2.2 mi SW of Cross Keys","   -","HRHS Archives # 86 Whitmer"
"Trinity Church and School","Refer to: Trinity Dunkard Church","Church","Hinton. Just south. ( No longer exists)","Presbyterian (New School) and Methodist Episcopal","HRHS Churches Database 2013"
"Trinity Lutheran Church Cemetery","   -","Cemetery","Near Harrisonburg, Rockingham County, Virginia. From downtown Harrisonburg travel east on East Market Street.  Go 0.7 miles and turn left on to Old Furnace Road (Route 718).  Go 3.8 miles and turn left on Indian Trail Road (Route 717).  Go 2.1 miles","   -","HRHS Cemeteries Database 2013"
"Trinity Reformed Church (Mt. Crawford)","   -","Church","Mt. Crawford","German Reformed","HRHS Churches Database 2013"
"Trinity United Church of Christ","Refer to: Trinity Reformed Church (Timberville)","Church","Timberville. Church St.","United Church of Christ","HRHS Churches Database 2013"
"Turleytown United Brethren Church","   -","Church","Turleytown","United Brethren","HRHS Churches Database 2013"
"Turner Ashby High School","   -","School","Just North of Dayton on SR 732.","   -","HRHS Archives # 86 Whitmer"
"Turner Family Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. From Funks Run Grocery store on Route 259, take a left (south) onto route 612.  After approximately 2.5 miles, you will pass Harlan Mongold's house, formerly the Genoa Schoolhouse.  Take the next left down a pr","   -","HRHS Cemeteries Database 2013"
"Union Springs Dam","   -","Resevoir","Impounds Union Springs Run. About 2.2 mi NNE of Briery Branch Community.","   -","HRHS Archives # 86 Whitmer"
"Ursulasburg","McGaheysville","Town","   -","   -","Other Sources"
"Valley Creamery","   -","Business","Between US Rt. 33 and SR 655, at Penn Laird. About 2 mi S of Keezletown.","   -","HRHS Archives # 86 Whitmer"
"Valley Star Mill","   -","Mill","McGaheysville","   -","HRHS Mill Books"
"Valley View Church","Mem. Ch, Damascus Memorial Church","Church","On SR 826","   -","HRHS Archives # 86 Whitmer"
"Wampler Sch.","No.10","School","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Wampler School Number 10","   -","School","On SR 619. About 2.9 mi NNW of 10th Legion.","   -","HRHS Archives # 86 Whitmer"
"Waterloo Mill","   -","Mill","Elkton","   -","HRHS Mill Books"
"Weavers Mennonite Church Cemetery","   -","Cemetery","Harrisonburg, Rockingham County, Virginia.  From the corner of Route 33 West & Route 42 North in Harrisonburg,  go West on Rt. 33 for 1.9 miles.  Cemetery is on the right side of road.","   -","HRHS Cemeteries Database 2013"
"Wengers Mill","   -","Mill","A water powered mill on Linville Creek, at intersdection of SR 42 and 752. About 1.8 mi N of Linville.","   -","HRHS Archives # 86 Whitmer"
"Wenger's Mill","Burruss Mill","Mill","Edom","   -","HRHS Mill Books"
"Whetzel Family Cemetery","   -","Cemetery","Criders area, Rockingham County, Virginia. One half mile east of Criders Post Office.","   -","HRHS Cemeteries Database 2013"
"Whetzel Seed Company","   -","Mill","Harrisonburg","   -","HRHS Mill Books"
"White Rock","   -","Rocks","On SE side of First Mountain on Massanutten Mountain, about 2.2 mi S of Lairds Knob.","   -","HRHS Archives # 86 Whitmer"
"Whitesel Church","Whitesels Church","Church","   -","   -","HRHS Archives # 86 Whitmer"
"Whitesels United Brethren Church Cemetery","   -","Cemetery","Pleasant Valley area, Rockingham County, Virginia. From the corner of Route 11 south (Main Street) and Route 659 (Port Republic Road) travel east 5.3 miles on Route 659. Turn right onto  Route 276 (Cross Keys Road). Go a short distance and turn right","   -","HRHS Cemeteries Database 2013"
"Whitmer School","Witmer School","School","On W side of North Fork Shenandoah River, near intersection of SR 259 and 921. About 3.2 mi ESE of Wetzel Knob.","   -","HRHS Archives # 86 Whitmer"
"Whitmore Family Cemetery","   -","Cemetery","Keezletown, Rockingham County, Virginia.  Located on the original Whitmore farm and is presently owned by the Brunk family. The cemetery is at the base of Massanutten Mountain just below Laird's Knob and about one and one-half miles Southeast of the","   -","HRHS Cemeteries Database 2013"
"Whitmore?s Camp Meeting","   -","Church","Ottobine","United Brethren","HRHS Churches Database 2013"
"Wildcat Ridge","   -","Mountain","Elevation about 3400'. Extends WSW-ENE about 1 mi from SE side of Shenandoah Mountain. Center about 2.3 mi NE of High Knob.","   -","HRHS Archives # 86 Whitmer"
"Williams Run","   -","Stream","Rises about .9 mi SW of Cross Keys, near 38 21 08N, 78 51 22W, flows SSE about 3.8 mi into North River near 38 18 34N, 78 49 56W, about 1.5 NW of Port Republic.","   -","HRHS Archives # 86 Whitmer"
"Williamsport","Thompson's Store, Riddles Tavern, Timberville","Town","   -","   -","Other Sources"
"Winfield & Co JQML","   -","Business","West Linville Creek","P. 15","1885 Lakes Atlas Revised 2013"
"Wolf Run","   -","Stream","Rises about 2.1 mi SE of Huckleberry Mountain, near 38 23 06N, 78 31 25W, flows WNW about 4.1 mi into Elk Run near 38 23 46N, 78 35 17W, about 2.9 mi. WSW of Huckleberry Mountain.","   -","HRHS Archives # 86 Whitmer"
"WSVA Radio Tower","   -","Structure","Old WSVA Tower located between U.S. Rt.11 and interstate 81, probably about 1.2 mi W of Pleasant Valley Community. Probably near 38 23 08N, 78 55 12W","   -","HRHS Archives # 86 Whitmer"
"WSVA Radio Towers","   -","Structure","South of U.S. Rt. 33 & W of SR 910. Four towers shown. Southernmost of the middle two is 2.5 mi E of Mole Hill.","   -","HRHS Archives # 86 Whitmer"
"X Roads Church","Crossroad Church","Church","   -","   -","HRHS Archives # 86 Whitmer"
"Zetty (Zettee) Family Cemetery","   -","Cemetery","Tenth Legion, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 11 North (North Valley Pike) to Route 798 (Arkton Road) at Bethlehem Church. Turn right onto Route 798 and cross over Smith Creek and then War Branch Creek. Go to 4th","   -","HRHS Cemeteries Database 2013"
"Zigler Mill","   -","Mill","Timberville","   -","HRHS Mill Books"
"Landes (John) Home","   -","Structure","Two miles south of Harrisonburg, on Route 11 east side.","Page 235.","WPA Book - 1937"
"Lynnwood","   -","Structure","10.5 miles southeast of Harrisonburg, near Port Republic.","Page 256.","WPA Book - 1937"
"Martz (B.F.) Residence","   -","Structure","No. 32 Graham Street, Harrisonburg, north side of street.","Page 265.","WPA Book - 1937"
"McWilliams (Samuel) Home","   -","Structure","2 blocks west of Post Office, Harrisonburg.","Page 277.","WPA Book - 1937"
"Miller (Daniel) Home","   -","Structure","Near Beaver Creek Church, on Briery Branch","Page 286.","WPA Book - 1937"
"Niswander (John) Home","   -","Structure","West side of Main Street, Dayton.","Page 294.","WPA Book - 1937"
"Royer (Emanuel) Residence","   -","Structure","245 North Liberty Street, Harrisonburg.","Page 317.","WPA Book - 1937"
"Scherdlin (Abraham) Home","Converse House","Structure","50 Paul Street, north side, Harrisonburg.","Page 321.","WPA Book - 1937"
"Scott (Thomas) Home","   -","Structure","S.E. corner of N. Main and E. Elizabeth Streets, Harrisonburg.","Page 324.","WPA Book - 1937"
"Smals (Ad.) Home","   -","Structure","Forks of North and Dry River, northeast of Bridgewater.","Page 336.","WPA Book - 1937"
"Wyant (Harry) Home","   -","Structure","In the Glade, 2 miles southwest of Bridgewater.","Page 364.","WPA Book - 1937"
